Period,Category,Subcategory,Amount
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,revenue,revenue,45689
Feb-25,revenue,revenue,49171
Jan-25,revenue,revenue,46287
Mar-25,revenue,revenue,48418
May-25,revenue,revenue,56708
Apr-25,other,miscellaneous,11727
Feb-25,other,miscellaneous,9599
Jan-25,other,miscellaneous,10440
Mar-25,other,miscellaneous,10556
May-25,other,miscellaneous,13752
Apr-25,cogs,direct_labor,11727
Feb-25,cogs,direct_labor,9599
Jan-25,cogs,direct_labor,10440
Mar-25,cogs,direct_labor,10556
May-25,cogs,direct_labor,13752
Apr-25,taxes,payroll_taxes,2925
Feb-25,taxes,payroll_taxes,2251
Jan-25,taxes,payroll_taxes,2275
Mar-25,taxes,payroll_taxes,2805
May-25,taxes,payroll_taxes,3430
Apr-25,cogs,direct_labor,11727
Feb-25,cogs,direct_labor,9599
Jan-25,cogs,direct_labor,10440
Mar-25,cogs,direct_labor,10556
May-25,cogs,direct_labor,13752
Apr-25,cogs,payroll_taxes,2925
Feb-25,cogs,payroll_taxes,2251
Jan-25,cogs,payroll_taxes,2275
Mar-25,cogs,payroll_taxes,2805
May-25,cogs,payroll_taxes,3430
Apr-25,cogs,direct_labor,6075
Feb-25,cogs,direct_labor,7162
Jan-25,cogs,direct_labor,5761
Mar-25,cogs,direct_labor,6129
May-25,cogs,direct_labor,7663
Apr-25,cogs,materials,6075
Feb-25,cogs,materials,7162
Jan-25,cogs,materials,5761
Mar-25,cogs,materials,6129
May-25,cogs,materials,7663
Apr-25,cogs,direct_labor,2925
Feb-25,cogs,direct_labor,2251
Jan-25,cogs,direct_labor,2275
Mar-25,cogs,direct_labor,2805
May-25,cogs,direct_labor,3430
Apr-25,cogs,materials,6075
Feb-25,cogs,materials,7162
Jan-25,cogs,materials,5761
Mar-25,cogs,materials,6129
May-25,cogs,materials,7663
Apr-25,cogs,materials,607
Feb-25,cogs,materials,530
Jan-25,cogs,materials,1062
Mar-25,cogs,materials,635
May-25,cogs,materials,684
Apr-25,cogs,materials,607
Feb-25,cogs,materials,530
Jan-25,cogs,materials,1062
Mar-25,cogs,materials,635
May-25,cogs,materials,684
Apr-25,cogs,materials,607
Feb-25,cogs,materials,530
Jan-25,cogs,materials,1062
Mar-25,cogs,materials,635
May-25,cogs,materials,684
